dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
21.9,15.3,36.6,-0.16,-9.6,-1.46,115.52,20.6,8.2,0
21.4,15.5,33.7,0.37,-8.6,-0.66,89.87,19.8,6.1,0
21.4,15.5,33.7,0.37,-8.6,-0.66,89.87,19.8,6.1,1
23.5,17.6,37.2,-1.75,-6.0,-2.47,744.23,22.1,7.3,1
23.5,17.6,37.2,-1.75,-6.0,-2.47,744.23,22.1,7.3,0
23.1,16.2,35.0,0.25,-8.6,-1.73,684.08,20.3,6.7,1
23.1,16.2,35.0,0.25,-8.6,-1.73,684.08,20.3,6.7,0
22.6,14.9,36.1,0.05,-7.7,-2.45,421.17,20.0,7.3,0
22.6,14.9,36.1,0.05,-7.7,-2.45,421.17,20.0,7.3,0
24.9,14.4,30.7,1.54,11.9,-3.28,1449.74,18.3,3.6,0
24.9,14.4,30.7,1.54,11.9,-3.28,1449.74,18.3,3.6,0
22.0,15.8,32.1,0.66,-9.9,-1.21,419.13,19.7,5.2,1
22.0,15.8,32.1,0.66,-9.9,-1.21,419.13,19.7,5.2,0
22.6,14.9,33.4,0.96,12.1,-1.67,565.01,19.0,6.0,1
22.6,14.9,33.4,0.96,12.1,-1.67,565.01,19.0,6.0,0
23.2,16.0,34.8,-0.02,12.1,-2.48,981.4,20.1,6.7,0
23.2,16.0,34.8,-0.02,12.1,-2.48,981.4,20.1,6.7,0
22.8,15.8,36.9,1.16,-8.3,-1.3,698.92,19.1,8.8,0
22.8,15.8,36.9,1.16,-8.3,-1.3,698.92,19.1,8.8,1
23.2,14.5,33.2,1.03,-9.1,-3.14,1065.78,19.0,6.0,1
23.2,14.5,33.2,1.03,-9.1,-3.14,1065.78,19.0,6.0,1
23.3,17.2,35.8,-1.17,-6.2,-2.89,1190.98,21.7,6.9,1
23.3,17.4,39.0,-0.75,-6.8,-2.15,1050.15,21.1,9.9,1
23.3,17.4,39.0,-0.75,-6.8,-2.15,1050.15,21.1,9.9,1
